Point	Potential(mV)	Current(microAmp)
1	249.919503927231	20.921133909724
2	254.447132349014	25.854746127152
3	259.443134069443	30.382427212317
4	264.439135789871	34.878885344369
5	269.4351375103	39.531467336929
6	274.431139230728	44.184049329488
7	279.505223035812	48.867859732127
8	284.501224756241	53.707793995272
9	289.419174194336	58.703855756903
10	294.493228197098	63.856045017019
11	299.411177635193	69.101908593439
12	304.485261440277	74.566356488504
13	309.403210878372	80.186924606096
14	314.477264881134	86.026069766376
15	319.395214319229	92.052570835222
16	324.469298124313	98.235199402552
17	329.387217760086	104.698854556773
18	334.46130156517	111.318637209479
19	339.379251003265	118.219453725033
20	344.453305006027	125.307618873194
21	349.449336528778	132.583125378005
22	354.445338249207	140.170901431702
23	359.519392251968	147.852348163724
24	364.437341690063	155.783593072556
25	369.433343410492	163.933422300033
26	374.42934513092	172.301821294241
27	379.503428936005	180.857576197013
28	384.4213783741	189.569473150186
29	389.495432376862	198.468696908094
30	394.491463899612	207.492834306322
31	399.487465620041	216.704327613115
32	404.405415058136	226.009491598234
33	409.401416778564	235.470797633752
34	414.553552865982	245.08818751201
35	419.393420219421	254.643178777769
36	424.467504024506	264.385482296348
37	429.463505744934	274.159043328837
38	434.381455183029	283.870118437335
39	439.455509185791	293.674907879904
40	444.451510906219	303.417211398482
41	449.525594711304	313.159544020891
42	454.443544149399	322.80819141306
43	459.517598152161	332.425610395148
44	464.435547590256	341.886916430667
45	469.431549310684	351.223308825865
46	474.505633115768	360.434787580743
47	479.501634836197	369.427696568891
48	484.419584274292	378.264492610469
49	489.493638277054	386.820232961327
50	494.489669799805	395.157432649285
51	499.407589435577	403.213576646522
52	504.403591156006	411.019922466949
53	509.47767496109	418.420328060165
54	514.473676681519	425.508507760242
55	519.469678401947	432.284403359517
56	524.465680122375	438.654387835413
57	529.461681842804	444.649660494179
58	534.457743167877	450.207793619484
59	539.453744888306	455.297529697418
60	544.449746608734	460.043782368302
61	549.523830413818	464.259210275486
62	554.441750049591	468.099926365539
63	559.43775177002	471.378589281812
64	564.433753490448	474.282569484785
65	569.429755210876	476.624467410147
66	574.503839015961	478.529225802049
67	579.499840736389	479.99681555666
68	584.495842456818	480.964808957651
69	589.491844177246	481.495633721352
70	594.487845897675	481.589289847761
71	599.561929702759	481.245835544541
72	604.479908943176	480.527640320361
73	609.475910663605	479.4035339728
74	614.471912384033	477.842258987948
75	619.467914104462	475.999957416207
76	624.46391582489	473.814172437415
77	629.459917545319	471.347360871732
78	634.534001350403	468.56832341291
79	639.451920986176	465.570687083527
80	644.52600479126	462.260795757174
81	649.522006511688	458.857219200581
82	654.518008232117	455.203844467178
83	659.514009952545	451.425585197285
84	664.510011672974	447.522412287071
85	669.506013393402	443.525554146618
86	674.502074718475	439.403811469674
87	679.576098918915	435.21961197257
88	684.572100639343	431.004184065387
89	689.490079879761	426.788756158203
90	694.564163684845	422.479643020779
91	699.482083320618	418.170529883355
92	704.478085041046	413.923873566091
93	709.55216884613	409.708445658907
94	714.548170566559	405.461789341643
95	719.622254371643	401.21516212821
96	724.540174007416	397.124618757516
97	729.536175727844	393.034104490653
98	734.532177448273	389.006017940119
99	739.528179168701	385.040388209745
100	744.524240493774	381.137215299532
101	749.520242214203	377.296499209479
102	754.594266414642	373.518239939585
103	759.51224565506	369.802408386022
104	764.508247375488	366.180262062699
105	769.504249095917	362.589344149455
106	774.500250816345	359.123310772702
107	779.574334621429	355.688534909859
108	784.570336341858	352.316186763346
109	789.566338062286	349.068752257153
110	794.484257698059	345.85251705721
111	799.558341503143	342.698767781258
112	804.554343223572	339.669903041795
113	809.550344944	336.672266712412
114	814.546406269073	333.70585879311
115	819.542407989502	330.801878590137
116	824.53840970993	328.022841131315
117	829.61243391037	325.275002978742
118	834.530413150787	322.58962164633
119	839.604496955872	319.935468723997
120	844.522416591644	317.343743517995
121	849.518418312073	314.876931952313
122	854.514420032501	312.410149490461
123	859.51042175293	309.943337924778
124	864.506423473358	307.632639305666
125	869.580507278442	305.321969790384
126	874.576508998871	303.073757095262
127	879.494488239288	300.85674370639
128	884.490489959717	298.702187137678
129	889.564573764801	296.578858979046
130	894.482493400574	294.517987640575
131	899.634599685669	292.457116302103
132	904.552578926086	290.489901090041
133	909.548580646515	288.553943391889
134	914.544582366943	286.649184999987
135	919.540584087372	284.775655018166
136	924.614667892456	282.964581856504
137	929.532587528229	281.153508694842
138	934.528589248657	279.467349173501
139	939.52465057373	277.718732832
140	944.520652294159	276.001344900578
141	949.594676494598	274.408841505647
142	954.590678215027	272.785109700635
143	959.5867395401	271.192635409534
144	964.504659175873	269.631360424683
145	969.578742980957	268.070085439831
146	974.574744701386	266.6337240953
147	979.570746421814	265.166134340689
148	984.566748142242	263.698515482247
149	989.562749862671	262.293382547796
150	994.558751583099	260.950706433505
151	999.554753303528	259.608001215383
152	995.573580265045	254.643178777769
153	990.577578544617	252.176367212087
154	985.503494739532	250.021810643375
155	980.507493019104	247.960939304903
156	975.511491298676	246.118637733161
157	970.515489578247	244.3075645715
158	965.519487857819	242.590176640078
159	960.52348613739	240.935230976902
160	955.527484416962	239.311513723806
161	950.531423091888	237.719024880789
162	945.457398891449	236.220206716098
163	940.461397171021	234.721388551407
164	935.465395450592	233.2225558348
165	930.547416210175	231.817422900349
166	925.47333240509	230.443503824063
167	920.477330684662	229.007142479531
168	915.481328964233	227.66443726141
169	910.563409328461	226.321746595204
